"ingredient","singnum","singredient"
"ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE",2,"CAFFEINE"
"ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE",3,"PROPOXYPHENE HYDROCHLORIDE"
"ASPIRIN; CARISOPRODOL",1,"ASPIRIN"
"ASPIRIN; CARISOPRODOL",2,"CARISOPRODOL"
"ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE",1,"ASPIRIN"
"ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE",2,"CARISOPRODOL"
"ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE",3,"CODEINE PHOSPHATE"
"ASPIRIN; DIPYRIDAMOLE",1,"ASPIRIN"
"ASPIRIN; DIPYRIDAMOLE",2,"DIPYRIDAMOLE"
"ASPIRIN; HYDROCODONE BITARTRATE",1,"ASPIRIN"
"ASPIRIN; HYDROCODONE BITARTRATE",2,"HYDROCODONE BITARTRATE"
"ASPIRIN; MEPROBAMATE",1,"ASPIRIN"
"ASPIRIN; MEPROBAMATE",2,"MEPROBAMATE"
"ASPIRIN; METHOCARBAMOL",1,"ASPIRIN"
"ASPIRIN; METHOCARBAMOL",2,"METHOCARBAMOL"
"ASPIRIN; OMEPRAZOLE",1,"ASPIRIN"
"ASPIRIN; OMEPRAZOLE",2,"OMEPRAZOLE"
"ASPIRIN; OXYCODONE HYDROCHLORIDE",1,"ASPIRIN"
"ASPIRIN; OXYCODONE HYDROCHLORIDE",2,"OXYCODONE HYDROCHLORIDE"
"ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",1,"ASPIRIN"
"ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",2,"OXYCODONE HYDROCHLORIDE"
"ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE",3,"OXYCODONE TEREPHTHALATE"
"ASPIRIN; PENTAZOCINE HYDROCHLORIDE",1,"ASPIRIN"
"ASPIRIN; PENTAZOCINE HYDROCHLORIDE",2,"PENTAZOCINE HYDROCHLORIDE"
"ASPIRIN; PRAVASTATIN SODIUM",1,"ASPIRIN"
"ASPIRIN; PRAVASTATIN SODIUM",2,"PRAVASTATIN SODIUM"
"ASPIRIN; PROPOXYPHENE HYDROCHLORIDE",1,"ASPIRIN"
"ASPIRIN; PROPOXYPHENE HYDROCHLORIDE",2,"PROPOXYPHENE HYDROCHLORIDE"
"ASPIRIN; PROPOXYPHENE NAPSYLATE",1,"ASPIRIN"
"ASPIRIN; PROPOXYPHENE NAPSYLATE",2,"PROPOXYPHENE NAPSYLATE"
"ATAZANAVIR SULFATE",1,"ATAZANAVIR SULFATE"
"ATAZANAVIR SULFATE; COBICISTAT",1,"ATAZANAVIR SULFATE"
"ATAZANAVIR SULFATE; COBICISTAT",2,"COBICISTAT"
"ATENOLOL",1,"ATENOLOL"
"ATENOLOL; CHLORTHALIDONE",1,"ATENOLOL"
"ATENOLOL; CHLORTHALIDONE",2,"CHLORTHALIDONE"
"ATOMOXETINE HYDROCHLORIDE",1,"ATOMOXETINE HYDROCHLORIDE"
"ATORVASTATIN CALCIUM",1,"ATORVASTATIN CALCIUM"
"ATORVASTATIN CALCIUM; EZETIMIBE",1,"ATORVASTATIN CALCIUM"
"ATORVASTATIN CALCIUM; EZETIMIBE",2,"EZETIMIBE"
"ATOVAQUONE",1,"ATOVAQUONE"
"ATOVAQUONE; PROGUANIL HYDROCHLORIDE",1,"ATOVAQUONE"
"ATOVAQUONE; PROGUANIL HYDROCHLORIDE",2,"PROGUANIL HYDROCHLORIDE"
"ATRACURIUM BESYLATE",1,"ATRACURIUM BESYLATE"
"ATROPINE",1,"ATROPINE"
"ATROPINE SULFATE",1,"ATROPINE SULFATE"
"ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE",1,"ATROPINE SULFATE"
"ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE",2,"DIFENOXIN HYDROCHLORIDE"
"ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE",1,"ATROPINE SULFATE"
"ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE",2,"DIPHENOXYLATE HYDROCHLORIDE"
"ATROPINE SULFATE; EDROPHONIUM CHLORIDE",1,"ATROPINE SULFATE"
"ATROPINE SULFATE; EDROPHONIUM CHLORIDE",2,"EDROPHONIUM CHLORIDE"
"ATROPINE SULFATE; MEPERIDINE HYDROCHLORIDE",1,"ATROPINE SULFATE"
"ATROPINE SULFATE; MEPERIDINE HYDROCHLORIDE",2,"MEPERIDINE HYDROCHLORIDE"
"ATROPINE; PRALIDOXIME CHLORIDE",1,"ATROPINE"
"ATROPINE; PRALIDOXIME CHLORIDE",2,"PRALIDOXIME CHLORIDE"
"AURANOFIN",1,"AURANOFIN"
"AVANAFIL",1,"AVANAFIL"
"AVIBACTAM SODIUM; CEFTAZIDIME",1,"AVIBACTAM SODIUM"
"AVIBACTAM SODIUM; CEFTAZIDIME",2,"CEFTAZIDIME"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE",1,"AVOBENZONE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE",2,"ECAMSULE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE",3,"OCTOCRYLENE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE",1,"AVOBENZONE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE",2,"ECAMSULE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE",3,"OCTOCRYLENE"
"AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE",4,"TITANIUM DIOXIDE"
"AVOBENZONE; OCTINOXATE; OXYBENZONE",1,"AVOBENZONE"
"AVOBENZONE; OCTINOXATE; OXYBENZONE",2,"OCTINOXATE"
"AVOBENZONE; OCTINOXATE; OXYBENZONE",3,"OXYBENZONE"
"AXITINIB",1,"AXITINIB"
"AZACITIDINE",1,"AZACITIDINE"
"AZATADINE MALEATE",1,"AZATADINE MALEATE"
"AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE",1,"AZATADINE MALEATE"
"AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE",2,"PSEUDOEPHEDRINE SULFATE"
"AZATHIOPRINE",1,"AZATHIOPRINE"
"AZATHIOPRINE SODIUM",1,"AZATHIOPRINE SODIUM"
"AZELAIC ACID",1,"AZELAIC ACID"
"AZELASTINE HYDROCHLORIDE",1,"AZELASTINE HYDROCHLORIDE"
"AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE",1,"AZELASTINE HYDROCHLORIDE"
"AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE",2,"FLUTICASONE PROPIONATE"
"AZILSARTAN KAMEDOXOMIL",1,"AZILSARTAN KAMEDOXOMIL"
"AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE",1,"AZILSARTAN KAMEDOXOMIL"
"AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE",2,"CHLORTHALIDONE"
"AZITHROMYCIN",1,"AZITHROMYCIN"
"AZITHROMYCIN DIHYDRATE; TROVAFLOXACIN MESYLATE",1,"AZITHROMYCIN DIHYDRATE"
"AZITHROMYCIN DIHYDRATE; TROVAFLOXACIN MESYLATE",2,"TROVAFLOXACIN MESYLATE"
"AZLOCILLIN SODIUM",1,"AZLOCILLIN SODIUM"
"AZTREONAM",1,"AZTREONAM"
"BACAMPICILLIN HYDROCHLORIDE",1,"BACAMPICILLIN HYDROCHLORIDE"
"BACITRACIN",1,"BACITRACIN"
"BACITRACIN ZINC",1,"BACITRACIN ZINC"
"BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"BACITRACIN ZINC"
"BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"HYDROCORTISONE"
"BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"NEOMYCIN SULFATE"
"BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",4,"POLYMYXIN B SULFATE"
"BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"BACITRACIN ZINC"
"BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"LIDOCAINE"
"BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"NEOMYCIN SULFATE"
"BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",4,"POLYMYXIN B SULFATE"
"BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"BACITRACIN ZINC"
"BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"NEOMYCIN SULFATE"
"BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"POLYMYXIN B SULFATE"
"BACITRACIN ZINC; POLYMYXIN B SULFATE",1,"BACITRACIN ZINC"
"BACITRACIN ZINC; POLYMYXIN B SULFATE",2,"POLYMYXIN B SULFATE"
"BACITRACIN; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"BACITRACIN"
"BACITRACIN; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"HYDROCORTISONE ACETATE"
"BACITRACIN; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"NEOMYCIN SULFATE"
"BACITRACIN; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",4,"POLYMYXIN B SULFATE"
"BACITRACIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",1,"BACITRACIN"
"BACITRACIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",2,"NEOMYCIN SULFATE"
"BACITRACIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE",3,"POLYMYXIN B SULFATE"
"BACITRACIN; POLYMYXIN B SULFATE",1,"BACITRACIN"
"BACITRACIN; POLYMYXIN B SULFATE",2,"POLYMYXIN B SULFATE"
"BACLOFEN",1,"BACLOFEN"
"BALSALAZIDE DISODIUM",1,"BALSALAZIDE DISODIUM"
"BARIUM SULFATE",1,"BARIUM SULFATE"
"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",1,"BAZEDOXIFENE ACETATE"
"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",2,"ESTROGENS, CONJUGATED"
"BECLOMETHASONE DIPROPIONATE",1,"BECLOMETHASONE DIPROPIONATE"
"BECLOMETHASONE DIPROPIONATE MONOHYDRATE",1,"BECLOMETHASONE DIPROPIONATE MONOHYDRATE"
"BEDAQUILINE FUMARATE",1,"BEDAQUILINE FUMARATE"
"BELINOSTAT",1,"BELINOSTAT"
"BENAZEPRIL HYDROCHLORIDE",1,"BENAZEPRIL HYDROCHLORIDE"
"BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE",1,"BENAZEPRIL HYDROCHLORIDE"
"BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE",2,"HYDROCHLOROTHIAZIDE"
"BENDAMUSTINE HYDROCHLORIDE",1,"BENDAMUSTINE HYDROCHLORIDE"
"BENDROFLUMETHIAZIDE",1,"BENDROFLUMETHIAZIDE"
"BENDROFLUMETHIAZIDE; NADOLOL",1,"BENDROFLUMETHIAZIDE"
"BENDROFLUMETHIAZIDE; NADOLOL",2,"NADOLOL"
"BENOXINATE HYDROCHLORIDE",1,"BENOXINATE HYDROCHLORIDE"
"BENTIROMIDE",1,"BENTIROMIDE"
"BENTOQUATAM",1,"BENTOQUATAM"
"BENZNIDAZOLE",1,"BENZNIDAZOLE"
"BENZONATATE",1,"BENZONATATE"
"BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE",1,"BENZOYL PEROXIDE"
"BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE",2,"CLINDAMYCIN PHOSPHATE"
"BENZOYL PEROXIDE; ERYTHROMYCIN",1,"BENZOYL PEROXIDE"
"BENZOYL PEROXIDE; ERYTHROMYCIN",2,"ERYTHROMYCIN"
"BENZPHETAMINE HYDROCHLORIDE",1,"BENZPHETAMINE HYDROCHLORIDE"
"BENZQUINAMIDE HYDROCHLORIDE",1,"BENZQUINAMIDE HYDROCHLORIDE"
"BENZTHIAZIDE",1,"BENZTHIAZIDE"
"BENZTROPINE MESYLATE",1,"BENZTROPINE MESYLATE"
"BENZYL ALCOHOL",1,"BENZYL ALCOHOL"
"BENZYL BENZOATE",1,"BENZYL BENZOATE"
"BENZYLPENICILLOYL POLYLYSINE",1,"BENZYLPENICILLOYL POLYLYSINE"
"BEPOTASTINE BESILATE",1,"BEPOTASTINE BESILATE"
"BEPRIDIL HYDROCHLORIDE",1,"BEPRIDIL HYDROCHLORIDE"
"BERACTANT",1,"BERACTANT"
"BESIFLOXACIN HYDROCHLORIDE",1,"BESIFLOXACIN HYDROCHLORIDE"
"BETA CAROTENE",1,"BETA CAROTENE"
"BETAINE HYDROCHLORIDE",1,"BETAINE HYDROCHLORIDE"
"BETAMETHASONE",1,"BETAMETHASONE"
"BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE",1,"BETAMETHASONE ACETATE"
"BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE",2,"BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE BENZOATE",1,"BETAMETHASONE BENZOATE"
"BETAMETHASONE DIPROPIONATE",1,"BETAMETHASONE DIPROPIONATE"
"BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE",1,"BETAMETHASONE DIPROPIONATE"
"BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE",2,"CALCIPOTRIENE"
"BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE",1,"BETAMETHASONE DIPROPIONATE"
"BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE",2,"CALCIPOTRIENE HYDRATE"
"BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE",1,"BETAMETHASONE DIPROPIONATE"
"BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE",2,"CLOTRIMAZOLE"
"BETAMETHASONE SODIUM PHOSPHATE",1,"BETAMETHASONE SODIUM PHOSPHATE"
"BETAMETHASONE VALERATE",1,"BETAMETHASONE VALERATE"
"BETAXOLOL HYDROCHLORIDE",1,"BETAXOLOL HYDROCHLORIDE"
"BETAXOLOL HYDROCHLORIDE; CHLORTHALIDONE",1,"BETAXOLOL HYDROCHLORIDE"
"BETAXOLOL HYDROCHLORIDE; CHLORTHALIDONE",2,"CHLORTHALIDONE"
"BETAXOLOL HYDROCHLORIDE; PILOCARPINE HYDROCHLORIDE",1,"BETAXOLOL HYDROCHLORIDE"
"BETAXOLOL HYDROCHLORIDE; PILOCARPINE HYDROCHLORIDE",2,"PILOCARPINE HYDROCHLORIDE"
"BETAZOLE HYDROCHLORIDE",1,"BETAZOLE HYDROCHLORIDE"
"BETHANECHOL CHLORIDE",1,"BETHANECHOL CHLORIDE"
"BETHANIDINE SULFATE",1,"BETHANIDINE SULFATE"
"BETRIXABAN",1,"BETRIXABAN"
"BEXAROTENE",1,"BEXAROTENE"
"BICALUTAMIDE",1,"BICALUTAMIDE"
"BIMATOPROST",1,"BIMATOPROST"
"BIPERIDEN HYDROCHLORIDE",1,"BIPERIDEN HYDROCHLORIDE"
"BIPERIDEN LACTATE",1,"BIPERIDEN LACTATE"
"BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",1,"BISACODYL"
"BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",2,"POLYETHYLENE GLYCOL 3350"
"BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",3,"POTASSIUM CHLORIDE"
"BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",4,"SODIUM BICARBONATE"
"BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",5,"SODIUM CHLORIDE"
"BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE",1,"BISMUTH SUBCITRATE POTASSIUM"
"BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE",2,"METRONIDAZOLE"
"BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE",3,"TETRACYCLINE"
"BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE",1,"BISMUTH SUBSALICYLATE"
"BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE",2,"METRONIDAZOLE"
"BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE",3,"TETRACYCLINE HYDROCHLORIDE"
"BISOPROLOL FUMARATE",1,"BISOPROLOL FUMARATE"
"BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE",1,"BISOPROLOL FUMARATE"
"BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE",2,"HYDROCHLOROTHIAZIDE"
"BITOLTEROL MESYLATE",1,"BITOLTEROL MESYLATE"
"BIVALIRUDIN",1,"BIVALIRUDIN"
"BLEOMYCIN SULFATE",1,"BLEOMYCIN SULFATE"
"BOCEPREVIR",1,"BOCEPREVIR"
"BORTEZOMIB",1,"BORTEZOMIB"
"BOSENTAN",1,"BOSENTAN"
"BOSUTINIB MONOHYDRATE",1,"BOSUTINIB MONOHYDRATE"
"BRETYLIUM TOSYLATE",1,"BRETYLIUM TOSYLATE"
"BREXPIPRAZOLE",1,"BREXPIPRAZOLE"
"BRIGATINIB",1,"BRIGATINIB"
"BRIMONIDINE TARTRATE",1,"BRIMONIDINE TARTRATE"
"BRIMONIDINE TARTRATE; BRINZOLAMIDE",1,"BRIMONIDINE TARTRATE"
"BRIMONIDINE TARTRATE; BRINZOLAMIDE",2,"BRINZOLAMIDE"
"BRIMONIDINE TARTRATE; TIMOLOL MALEATE",1,"BRIMONIDINE TARTRATE"
"BRIMONIDINE TARTRATE; TIMOLOL MALEATE",2,"TIMOLOL MALEATE"
"BRINZOLAMIDE",1,"BRINZOLAMIDE"
"BRIVARACETAM",1,"BRIVARACETAM"
"BROMFENAC SODIUM",1,"BROMFENAC SODIUM"
"BROMOCRIPTINE MESYLATE",1,"BROMOCRIPTINE MESYLATE"
"BROMODIPHENHYDRAMINE HYDROCHLORIDE",1,"BROMODIPHENHYDRAMINE HYDROCHLORIDE"
"BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE",1,"BROMODIPHENHYDRAMINE HYDROCHLORIDE"
"BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE",2,"CODEINE PHOSPHATE"
"BROMPHENIRAMINE MALEATE",1,"BROMPHENIRAMINE MALEATE"
"BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",1,"BROMPHENIRAMINE MALEATE"
"BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",2,"DEXTROMETHORPHAN HYDROBROMIDE"
"BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE",3,"PSEUDOEPHEDRINE HYDROCHLORIDE"
"BROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE",1,"BROMPHENIRAMINE MALEATE"
"BROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE",2,"PSEUDOEPHEDRINE HYDROCHLORIDE"
"BUCLIZINE HYDROCHLORIDE",1,"BUCLIZINE HYDROCHLORIDE"
"BUDESONIDE",1,"BUDESONIDE"
"BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE",1,"BUDESONIDE"
"BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE",2,"FORMOTEROL FUMARATE DIHYDRATE"
"BUMETANIDE",1,"BUMETANIDE"
"BUPIVACAINE",1,"BUPIVACAINE"
"BUPIVACAINE HYDROCHLORIDE",1,"BUPIVACAINE HYDROCHLORIDE"
"BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE",1,"BUPIVACAINE HYDROCHLORIDE"
"BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE",2,"EPINEPHRINE"
"BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE",1,"BUPIVACAINE HYDROCHLORIDE"
"BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE",2,"EPINEPHRINE BITARTRATE"
"BUPIVACAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE",1,"BUPIVACAINE HYDROCHLORIDE"
"BUPIVACAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE",2,"LIDOCAINE HYDROCHLORIDE"
"BUPRENORPHINE",1,"BUPRENORPHINE"
"BUPRENORPHINE HYDROCHLORIDE",1,"BUPRENORPHINE HYDROCHLORIDE"
"BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE",1,"BUPRENORPHINE HYDROCHLORIDE"
"BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE",2,"NALOXONE HYDROCHLORIDE"
"BUPROPION HYDROBROMIDE",1,"BUPROPION HYDROBROMIDE"
"BUPROPION HYDROCHLORIDE",1,"BUPROPION HYDROCHLORIDE"
"BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE",1,"BUPROPION HYDROCHLORIDE"
"BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE",2,"NALTREXONE HYDROCHLORIDE"
"BUSPIRONE HYDROCHLORIDE",1,"BUSPIRONE HYDROCHLORIDE"
"BUSULFAN",1,"BUSULFAN"
"BUTABARBITAL SODIUM",1,"BUTABARBITAL SODIUM"
"BUTENAFINE HYDROCHLORIDE",1,"BUTENAFINE HYDROCHLORIDE"
"BUTOCONAZOLE NITRATE",1,"BUTOCONAZOLE NITRATE"
"BUTORPHANOL TARTRATE",1,"BUTORPHANOL TARTRATE"
"CABAZITAXEL",1,"CABAZITAXEL"
"CABERGOLINE",1,"CABERGOLINE"
"CABOZANTINIB S-MALATE",1,"CABOZANTINIB S-MALATE"
"CAFFEINE CITRATE",1,"CAFFEINE CITRATE"
"CAFFEINE; ERGOTAMINE TARTRATE",1,"CAFFEINE"
"CAFFEINE; ERGOTAMINE TARTRATE",2,"ERGOTAMINE TARTRATE"
"CALCIFEDIOL",1,"CALCIFEDIOL"
"CALCIPOTRIENE",1,"CALCIPOTRIENE"
"CALCITONIN HUMAN",1,"CALCITONIN HUMAN"
"CALCITONIN SALMON",1,"CALCITONIN SALMON"
"CALCITONIN SALMON RECOMBINANT",1,"CALCITONIN SALMON RECOMBINANT"
"CALCITRIOL",1,"CALCITRIOL"
"CALCIUM ACETATE",1,"CALCIUM ACETATE"
"CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE",1,"CALCIUM CARBONATE"
"CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE",2,"FAMOTIDINE"
"CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE",3,"MAGNESIUM HYDROXIDE"
"CALCIUM CARBONATE; RISEDRONATE SODIUM",1,"CALCIUM CARBONATE"
"CALCIUM CARBONATE; RISEDRONATE SODIUM",2,"RISEDRONATE SODIUM"
"CALCIUM CHLORIDE",1,"CALCIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",1,"CALCIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",2,"DEXTROSE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",3,"GLUTATHIONE DISULFIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",4,"MAGNESIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",5,"POTASSIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",6,"SODIUM BICARBONATE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",7,"SODIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE",8,"SODIUM PHOSPHATE"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",1,"CALCIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",2,"DEXTROSE"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",3,"LACTIC ACID"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",4,"MAGNESIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",5,"POTASSIUM CHLORIDE"
"CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE",6,"SODIUM BICARBONATE"
